make,model,trim,mileage,price,year,month
Hyundai,Elantra,SE,19802,14800,2017,july
Toyota,Camry,SE,33453,16800,2016,july
Chevrolet,Equinox,LTZ,29172,19300,2016,july
Ford,E350 Super Duty P...,XLT,37313,20800,2014,july
Volkswagen,Tiguan,2.0T S,24022,18500,2017,july
Hyundai,Sonata,SE,25813,15000,2016,july
Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,42191,26300,2015,july
Chevrolet,Equinox,LS,18455,18500,2017,july
Kia,Sorento,SX,34904,23600,2016,july
Toyota,RAV4,XLE,25578,20400,2016,july
Nissan,LEAF,SV,28419,14900,2016,july
GMC,Acadia,Denali,10616,40200,2018,july
Volkswagen,Golf GTI,Sport Hatchback,7091,24200,2017,july
Dodge,Challenger,R/T,12752,29400,2017,july
Honda,CR-V,EX-L,31139,20300,2014,july
Jeep,Renegade,Sport,23096,18000,2018,july
Kia,Optima,LX,23092,15000,2016,july
Nissan,Maxima,SR,18759,27300,2018,july
Chevrolet,Trax,LS,22121,15400,2017,july
Chevrolet,Equinox,LTZ,21060,19300,2016,july
Acura,TLX,2.4,49282,19400,2015,july
Chevrolet,Equinox,LT,20526,17600,2017,july
Audi,Q3,Premium,13809,28400,2018,july
Jeep,Wrangler,Sport,23434,31900,2017,july
Nissan,Maxima,SV,38822,20800,2018,july
Chevrolet,Bolt EV,LT,20906,25000,2018,july
Toyota,Camry,SE,25246,17300,2016,july
Toyota,Tundra CrewMax,Limited 5 1/2 ft,21285,36700,2016,july
Lexus,RX,RX 350,11702,42600,2018,july
Ford,Expedition,XLT,24979,30300,2015,july
Toyota,Highlander Hybrid,XLE,7578,39100,2018,july
Jeep,Grand Cherokee,Overland,39787,28400,2015,july
Dodge,Charger,SXT,21902,22600,2018,july
Ford,Escape,S,15777,17900,2018,july
Nissan,Murano,SV,30772,21700,2018,july
GMC,Terrain,SLE-1,15888,18100,2017,july
Chevrolet,Trax,LS,9418,15400,2017,july
Chevrolet,Bolt EV,Premier,69051,21400,2017,july
Hyundai,Sonata,Sport,11653,19400,2018,july
Mitsubishi,Outlander,SE,32297,18200,2018,july
Mitsubishi,Outlander,SE,34225,18900,2018,july
Hyundai,Veloster,Veloster,25436,16600,2016,july
Dodge,Journey,GT,16012,20300,2017,july
Lexus,RX,RX 350,22187,35900,2016,july
Chevrolet,Traverse,LT,63382,17700,2014,july
GMC,Sierra 1500 Crew ...,SLT 6 1/2 ft,12591,41400,2018,july
Honda,Fit,LX,10556,18200,2018,july
Buick,Encore,Encore,16317,16400,2016,july
Toyota,Yaris,L Hatchback,367,18000,2018,july
Mercedes-Ben...,E-Class,E 350 4MATIC,79785,18000,2013,july
Dodge,Challenger,R/T,20106,28300,2016,july
Jeep,Cherokee,Limited,17988,25000,2018,july
Kia,Sedona,LX,21784,24300,2018,july
Nissan,Pathfinder,Platinum,8021,34400,2018,july
Chevrolet,Trax,LS,4196,15700,2017,july
Mercedes-Ben...,CLA,CLA 250 4MATIC,39290,22500,2016,july
Audi,Q5,2.0T Premium Plus,37040,26600,2016,july
Mazda,CX-5,Touring,30418,19200,2016,july
Chevrolet,Equinox,LS,12521,17300,2017,july
Ford,Escape,SEL,7525,23100,2018,july
Kia,K900,Luxury,9415,32300,2017,july
Chevrolet,Equinox,LTZ,35932,20000,2016,july
Chevrolet,Traverse,LS,35766,20000,2016,july
Ford,Escape,S,8456,17500,2017,july
Hyundai,Sonata,SE,17563,14800,2015,july
Nissan,Frontier Crew Cab,SV 5 ft,51061,19800,2017,july
Toyota,Camry,LE,34626,18000,2018,july
Chrysler,Pacifica,Limited,18824,32900,2017,july
Land Rover,Range Rover Sport,Supercharged,30626,51400,2015,july
Land Rover,Discovery Sport,HSE LUX,49223,28700,2016,july
Land Rover,Range Rover Evoqu...,SE,36365,27600,2016,july
Audi,A4,Premium Plus,39005,20700,2015,july
Ford,Focus,SE,12584,15500,2018,july
