Make,Model,trim,Mileage,Price
2018 Dodge,Journey,Crossroad,"14,769 miles","19,200"
2017 Mazda,MAZDA6,Grand Touring,"15,409 miles","23,700"
2017 Chevrolet,Equinox,LS,"16,026 miles","17,400"
2016 Chevrolet,Equinox,LT,"24,815 miles","16,900"
2018 Dodge,Charger,SXT,"5,192 miles","24,700"
2017 Dodge,Journey,GT,"25,812 miles","19,500"
2016 Kia,Soul,Soul,"20,785 miles","14,200"
2017 Chevrolet,Equinox,LS,"21,141 miles","16,700"
2017 Kia,Optima,LX,"34,091 miles","15,000"
2019 Nissan,Frontier Crew Cab,SV 5 ft,"17,361 miles","22,000"
2018 Toyota,Corolla,XLE,"32,861 miles","15,200"
2018 Toyota,Corolla,LE,"20,598 miles","16,100"
2016 Kia,Optima,LX,"30,479 miles","14,900"
2019 Chrysler,Pacifica,Limited,"13,772 miles","33,900"
2017 Chevrolet,Equinox,LT,"23,827 miles","17,300"
2018 Mazda,CX-9,Signature,"6,949 miles","40,300"
2016 BMW,3 Series,328i xDrive,"12,908 miles","26,600"
2018 Kia,Sorento,LX,"29,973 miles","20,000"
2016 Jeep,Cherokee,Limited,"7,023 miles","25,700"
2016 Mazda,MX-5 Miata,Grand Touring,"7,134 miles","24,500"
2016 Nissan,Sentra,SV,"17,965 miles","14,100"
2017 Hyundai,Elantra,Limited,"22,289 miles","16,700"
2014 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"35,445 miles","29,800"
2018 Toyota,RAV4,Limited,"9,888 miles","27,900"
2016 Ford,Escape,SE,"21,017 miles","16,900"
2016 INFINITI,Q50,3.0t Premium,"19,458 miles","24,000"
2016 GMC,Acadia,SLE-2,"54,042 miles","20,500"
2016 Toyota,RAV4,XLE,"28,533 miles","20,200"
2018 Chevrolet,Malibu,LS,"17,379 miles","17,100"
2015 Chevrolet,Camaro,SS,"33,037 miles","28,700"
2017 Volkswagen,Jetta,1.4T S,"48,437 miles","12,700"
2017 Chevrolet,Camaro,LT,152 miles,"28,900"
2017 Volkswagen,Golf Alltrack,TSI SE,"36,570 miles","19,300"
2016 Mercedes-Ben...,E-Class,E 350,"21,079 miles","26,900"
2018 Nissan,Altima,2.5 SR,"10,494 miles","20,600"
2017 Chevrolet,Volt,Premier,"30,367 miles","21,700"
2017 Chevrolet,Volt,Premier,"42,173 miles","20,600"
2017 Ram,1500 Crew Cab,Laramie 5 1/2 ft,"21,147 miles","35,800"
2016 Dodge,Challenger,R/T Scat Pack,"11,753 miles","36,100"
2016 Kia,Sedona,LX,"28,673 miles","20,100"
2018 Honda,Accord,Touring,"17,140 miles","27,700"
2013 INFINITI,G,IPL,"57,986 miles","20,800"
2013 Dodge,Challenger,R/T,"28,179 miles","24,000"
2017 Jeep,Renegade,Latitude,"15,979 miles","18,900"
2013 Hyundai,Sonata,GLS,"17,529 miles","14,700"
2018 Dodge,Grand Caravan Pas...,SXT,"41,677 miles","17,700"
